id,sale_date,car_brand,car_model,quantity_sold,price_per_unit,total_revenue
1,2020-01,Mitsubishi,Mirage,36,23941,861876
2,2020-05,Dodge,Ram Van B350,25,19011,475275
3,2020-10,Lincoln,Navigator,8,39766,318128
4,2020-01,Infiniti,G,45,57076,2568420
5,2020-12,Lotus,Elan,8,38089,304712
6,2020-05,Mazda,RX-7,32,75714,2422848
7,2020-01,Mercury,Sable,17,73876,1255892
8,2020-04,Suzuki,Grand Vitara,37,26366,975542
9,2020-10,Chevrolet,Lumina,4,63859,255436
10,2020-04,Infiniti,QX,45,74869,3369105
11,2020-01,Pontiac,Sunfire,7,34603,242221
12,2020-08,Mazda,CX-7,50,22091,1104550
13,2020-01,Toyota,Highlander,4,94803,379212
14,2020-05,Chrysler,300M,39,18100,705900
15,2020-06,Dodge,Ram Wagon B350,20,89822,1796440
16,2020-06,Nissan,Titan,12,70268,843216
17,2020-02,Jeep,Patriot,3,63069,189207
18,2020-02,Maybach,62,26,57703,1500278
19,2020-03,Mitsubishi,Eclipse,15,27818,417270
20,2020-02,Ferrari,California,2,32218,64436
21,2020-10,Lexus,ES,9,38597,347373
22,2020-04,Isuzu,Oasis,17,48386,822562
23,2020-01,MINI,Cooper,46,99707,4586522
24,2020-06,Nissan,Quest,2,81472,162944
25,2020-12,Toyota,4Runner,6,77186,463116
26,2020-12,Jaguar,XK Series,5,69811,349055
27,2020-05,Chevrolet,Silverado,24,35590,854160
28,2020-03,Porsche,Boxster,50,50974,2548700
29,2020-11,Chrysler,Town & Country,33,14778,487674
30,2020-07,BMW,X3,5,22158,110790
31,2020-12,Mitsubishi,Challenger,38,51325,1950350
32,2020-08,Buick,LeSabre,16,72808,1164928
33,2020-02,Pontiac,Bonneville,3,28417,85251
34,2020-03,Volkswagen,Passat,19,47205,896895
35,2020-08,Pontiac,Tempest,5,50161,250805
36,2020-12,Renault,Alliance,36,23440,843840
37,2020-02,Mercury,Sable,47,40277,1893019
38,2020-04,Toyota,RAV4,32,75200,2406400
39,2020-02,Volkswagen,Cabriolet,41,18243,747963
40,2020-01,Toyota,Yaris,32,66750,2136000
41,2020-11,Toyota,MR2,47,60596,2848012
42,2020-12,Cadillac,Escalade ESV,31,78007,2418217
43,2020-08,Volvo,XC60,25,24235,605875
44,2020-04,BMW,Z3,4,59734,238936
45,2020-11,Volkswagen,Golf,21,11680,245280
46,2020-04,Mitsubishi,Lancer Evolution,47,52184,2452648
47,2020-12,Nissan,Quest,23,44210,1016830
48,2020-06,Chevrolet,Camaro,35,53256,1863960
49,2020-02,Chrysler,PT Cruiser,5,83758,418790
50,2020-06,Porsche,911,34,13167,447678
51,2020-11,Corbin,Sparrow,2,68352,136704
52,2020-01,Saab,9-5,35,86241,3018435
53,2020-06,Geo,Metro,15,20562,308430
54,2020-01,Ford,F250,10,12673,126730
55,2020-08,MINI,Cooper Countryman,31,14478,448818
56,2020-08,Mazda,B2600,27,75962,2050974
57,2020-03,Volkswagen,Golf,15,68750,1031250
58,2020-01,Toyota,Prius,45,59776,2689920
59,2020-11,Volkswagen,Golf,49,65137,3191713
60,2020-02,Dodge,Colt,33,52114,1719762
61,2020-06,Chevrolet,Corvette,16,95278,1524448
62,2020-03,Ford,F-Series,33,88540,2921820
63,2020-01,Mazda,Mazdaspeed 3,18,15115,272070
64,2020-11,Toyota,RAV4,34,98274,3341316
65,2020-08,Lexus,SC,47,78953,3710791
66,2020-07,Mercedes-Benz,M-Class,11,91773,1009503
67,2020-03,Mercedes-Benz,S-Class,21,26963,566223
68,2020-02,Audi,S6,49,57529,2818921
69,2020-10,Ford,Mustang,41,79059,3241419
70,2020-05,Mazda,RX-7,15,18092,271380
71,2020-08,Chrysler,300,45,78295,3523275
72,2020-12,Nissan,Quest,12,29203,350436
73,2020-11,Jaguar,XJ,34,32385,1101090
74,2020-02,Mazda,Mazda6,7,37693,263851
75,2020-07,Chevrolet,Aveo,23,39622,911306
76,2020-03,Honda,Accord,7,90126,630882
